unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e490_updateVariableOffsetCalculation	490/656	3	80	10	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2131	19112-19123	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/integer_sequence_data_transfer_updater.rs	e009_createOffsetValue,e015_getInit,e267_getIntegerSequenceDescriptor,e268_getIntegerSequenceDescriptor,e402_getIterArgIndex,e407_getInit,e411_getInit,e414_getInit
e491_computeChainingInfo	491/656	3	65	120	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2192	19132-19252	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/data_transfer_descriptor_container.rs	e007_isPartOfSomeChain,e008_setChainingInfo,e252_size,e273_isHeadOfChain,e278_isValid,e417_isHeadOfLoopingChain,e423_lookup
e492_dump	492/656	3	56	28	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2521	19261-19289	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/data_transfer_descriptor.rs	e258_isToggle,e259_isConditionalConstant,e260_isIntegerSequence,e261_isDiscreteIntegerSet,e262_isLoopingChainMutableAddr,e415_isSimpleConstant
e493_dump	493/656	3	70	20	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2877	19298-19318	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/integer_sequence_descriptor.rs	e002_getAllConstants,e252_size,e278_isValid,e279_canBeSimplified,e408_getAllConstants
e494_processAddressSSAValue	494/656	3	102	223	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:221	19327-19551	crates/compiler/deeptools/src/transform/sentient/address_register_precision_assignment/mod.rs	e428_addToWorkListAndAssignPrecision
e495_runOnOperation	495/656	3	109	5	dcc/src/Transform/Sentient/BurstSplitting.cpp:213	19560-19565	crates/compiler/deeptools/src/transform/sentient/burst_splitting/mod.rs	e285_runOn,e430_runOn
e496_parseFixedDims	496/656	3	140	59	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:2021	19574-19638	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	e027_print,e252_size,e434_parseSequence
e497_duplicateAndUpdateRegionsOfLocalRegionOps	497/656	3	154	88	dcc/src/Transform/Sentient/Deuniform.cpp:284	19647-19737	crates/compiler/deeptools/src/transform/sentient/deuniform/mod.rs	e252_size,e299_expandAllGroupsToUnitsAndUpdateSizes,e436_duplicateAndUpdateEntriesOfQueryMapInLocalRegions
e498_updateForOperation	498/656	3	165	141	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:127	19746-19888	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e041_getInfluenceType,e252_size,e422_insert
e499_updateIfOperation	499/656	3	164	49	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:272	19897-19947	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e041_getInfluenceType,e422_insert
