unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines	rust_home	scope	extract_file	class	calls	note
e035_isOpFuncConversionDl16AndFp32	035/382	0	47	5	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:858	829-835	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e036_getMinParamScalarBroadcast	036/382	0	52	16	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1008	845-862	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e037_getMinParamReduction	037/382	0	53	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1026	872-885	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e038_getMinParamPoolingAndDepthwiseConv	038/382	0	54	22	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1040	895-919	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e039_getMinParamQuantization	039/382	0	55	31	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1065	929-962	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e040_getMinParamConversionDl16AndFp32	040/382	0	56	17	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1099	972-991	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e041_getChunkParamsFromCandidates	041/382	0	64	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1423	1001-1016	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e042_getBurstEfficiency	042/382	0	75	17	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1609	1026-1044	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e043_getLabeledDsNumOfStickVolumesInCore	043/382	0	74	37	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1694	1054-1094	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e044_getOpReducedDimSet	044/382	0	57	13	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:2719	1104-1118	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e045_addSuperChunkDataStage	045/382	0	66	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:2806	1128-1140	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e046_getLxBelowBlockNode	046/382	0	84	11	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:3468	1150-1162	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e047_collectAllDimensionsForLoopOrder	047/382	0	93	25	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:3991	1172-1198	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e048_getSharesAndGroupName	048/382	0	103	43	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:4673	1208-1255	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e049_calculateCoreletOffsetInByte	049/382	0	105	82	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:4842	1265-1348	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e050_getInitialStartAddressAndOffset	050/382	0	106	31	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:4926	1358-1390	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e051_getLdsOrConstNameOfAllocNode	051/382	0	71	10	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:5493	1400-1411	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e052_verifyLoopOrder	052/382	0	100	17	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6366	1421-1439	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e053_verifyScheduleTree	053/382	0	118	22	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6385	1449-1471	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e054_prepDsc	054/382	0	119	13	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6411	1481-1494	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e055_computeMinHMICoreGroupSizeForSEN1P5	055/382	0	120	94	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6486	1504-1599	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e056_isIndexLds	056/382	0	21	13	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6582	1609-1622	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e057_isPagedLds	057/382	0	112	9	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6596	1632-1641	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e058_getNewDataStageIndex	058/382	0	96	18	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6606	1651-1670	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e059_getPagedDimensions	059/382	0	61	20	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6709	1680-1701	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e060_getHbmAllocations	060/382	0	133	13	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7152	1711-1725	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e061_gatherFoldParams	061/382	0	135	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7248	1735-1749	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e062_getEnclosingLoopsAndRelatedDims	062/382	0	137	38	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7263	1759-1800	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e063_findAndStoreLoopWithDim	063/382	0	136	21	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7307	1810-1835	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e064_constructDatastage	064/382	0	139	11	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7724	1845-1857	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e065_constructLoopNode	065/382	0	140	18	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7737	1867-1886	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e066_addCore	066/382	0	80	4	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:29	1896-1900	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	CrossCoreReductionGroup	-	-
e067_getStartCoreAtCorelet	067/382	0	147	9	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:34	1910-1919	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	CrossCoreReductionGroup	-	-
e068_getEndCoreAtCorelet	068/382	0	82	9	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:43	1929-1938	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	CrossCoreReductionGroup	-	-
e069_updateMin	069/382	0	148	3	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:117	1948-1951	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	Constraints	-	-
e070_updateMax	070/382	0	149	3	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:120	1961-1964	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	Constraints	-	-
e071_updateValues	071/382	0	150	3	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:123	1974-1977	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	Constraints	-	-
e072_getTripCount	072/382	0	69	9	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:487	1987-1997	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e073_addPropInfo	073/382	0	167	22	ddc/ddc.h:402	32-59	crates/compiler/deeptools/src/schedule/ddc/mod.rs	ddc	crustify-ddc/cpp/ddc.cpp	CoordPropTracker	-	-
e074_retry	074/382	0	169	23	ddc/ddc.h:436	69-93	crates/compiler/deeptools/src/schedule/ddc/mod.rs	ddc	crustify-ddc/cpp/ddc.cpp	CoordPropTracker	-	-
e075_getCurrItem	075/382	0	170	10	ddc/ddc.h:463	103-113	crates/compiler/deeptools/src/schedule/ddc/mod.rs	ddc	crustify-ddc/cpp/ddc.cpp	CoordPropTracker	-	-
e076_print	076/382	0	113	29	ddc/ddc.h:580	123-152	crates/compiler/deeptools/src/schedule/ddc/mod.rs	ddc	crustify-ddc/cpp/ddc.cpp	RowGroupInfo	-	-
e077_printFoldParams	077/382	0	174	6	ddc/ddc.h:611	162-168	crates/compiler/deeptools/src/schedule/ddc/mod.rs	ddc	crustify-ddc/cpp/ddc.cpp	Ddc	-	-
e078_dbgPrint	078/382	0	175	25	ddc/ddc_fold.cpp:20	177-202	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e079_dbgPrint	079/382	0	176	16	ddc/ddc_fold.cpp:46	211-227	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e080_allDimsCovered	080/382	0	178	9	ddc/ddc_fold.cpp:75	236-247	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e081_buildFoldForBroadcastDim	081/382	0	179	19	ddc/ddc_fold.cpp:87	256-278	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e082_getCompRowId	082/382	0	180	7	ddc/ddc_fold.cpp:110	287-294	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e083_getComponent	083/382	0	181	17	ddc/ddc_fold.cpp:118	303-320	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e084_getLayoutDimsFromNode	084/382	0	182	51	ddc/ddc_fold.cpp:136	329-382	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e085_needToConsiderRowBundling	085/382	0	183	7	ddc/ddc_fold.cpp:190	391-401	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e086_isAllocateIncoming	086/382	0	184	28	ddc/ddc_fold.cpp:201	410-440	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e087_findCommonAncestor	087/382	0	185	32	ddc/ddc_fold.cpp:232	449-483	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e088_orderDescendants	088/382	0	186	25	ddc/ddc_fold.cpp:267	492-520	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e089_constructAllocElemArrLayout	089/382	0	187	87	ddc/ddc_fold.cpp:296	529-621	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e090_combineContigousLevels	090/382	0	188	34	ddc/ddc_fold.cpp:395	630-665	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e091_matchDataStream	091/382	0	189	42	ddc/ddc_fold.cpp:430	674-719	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e092_getNumElementsInPTSlice	092/382	0	197	18	ddc/ddc_fold.cpp:1519	729-747	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	Ddc	-	-
e093_buildSpatialFold	093/382	0	209	41	ddc/ddc_fold.cpp:2109	757-801	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	Ddc	-	-
e094_getDefaultRowSplitFold	094/382	0	198	6	ddc/ddc_fold.cpp:2154	810-816	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	-	-	-
e095_gatherFoldParams	095/382	0	190	12	ddc/ddc_fold.cpp:2224	826-839	crates/compiler/deeptools/src/schedule/ddc/fold.rs	ddc	crustify-ddc/cpp/ddc.cpp	Ddc	-	-
e096_updateMin	096/382	0	213	3	ddc/ddc_metadata.h:40	849-852	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	Constraints	-	-
e097_updateMax	097/382	0	214	3	ddc/ddc_metadata.h:43	862-865	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	Constraints	-	-
e098_updateValues	098/382	0	215	3	ddc/ddc_metadata.h:46	875-878	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	Constraints	-	-
e099_dump	099/382	0	216	23	ddc/ddc_metadata.h:49	888-911	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	Constraints	-	-
e100_insertProducer	100/382	0	217	5	ddc/ddc_metadata.h:147	921-926	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	DataConnect	-	-
e101_insertConsumer	101/382	0	218	5	ddc/ddc_metadata.h:153	936-941	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	DataConnect	-	-
e102_print	102/382	0	114	11	ddc/ddc_metadata.h:166	951-962	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	DataConnect	-	-
e103_getLoops	103/382	0	219	13	ddc/ddc_metadata.h:179	972-986	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	DataConnect	-	-
e104_clear	104/382	0	4	4	ddc/ddc_metadata.h:225	996-1000	crates/compiler/deeptools/src/schedule/ddc/metadata.rs	ddc	crustify-ddc/cpp/ddc.cpp	Metadata	-	-
e105_isReleventComputeToPackStickDim	105/382	0	229	17	ddc/ddc_transformation.cpp:693	1010-1028	crates/compiler/deeptools/src/schedule/ddc/transformation.rs	ddc	crustify-ddc/cpp/ddc.cpp	Ddc	-	-
