unit	level	loc	authority	subsystems
e303_unrollSpreadTransfers	2	24	ddc/ddc_transformation.cpp:1706	dsc2 tree utilities
e307_exploreAssignDataStages	2	1126	ddc/ddcv1.cpp:555	constraint check (ALREADY PORTED); dsc2 tree utilities; stick sizes (ALREADY PORTED)
e308_prepDsc	2	252	ddc/ddcv1.cpp:2019	dsc2 tree utilities; stick sizes (ALREADY PORTED)
e309_attachToPrefilledSchedule	2	71	ddc/ddcv1.cpp:2280	dsc2 tree utilities
e323_processOp	2	1424	ddc/ddl/ddl_conversion.cpp:582	fold infrastructure; stick sizes (ALREADY PORTED)
e326_mergePcfgInSuperDSC	2	5	dcg/dcg_manager/dcg_manager.cpp:629	PCFG translator
e331_exploreSuperChunkDataStageParams	3	140	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:2829	dsc2 tree utilities
e333_fillLoopOffsetsAndAddresses	3	613	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:5750	dsc2 tree utilities; stick sizes (ALREADY PORTED)
e334_addIbrDataStage	3	47	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6626	stick sizes (ALREADY PORTED)
e338_performPeSfpWorkSplit	3	36	ddc/ddc_transformation.cpp:1395	dsc2 tree utilities
e347_matchDdl2Dsc	3	442	ddc/ddl/ddl_conversion.cpp:2110	dsc2 tree utilities
e348_runDcgForDataOpsDlOps	3	179	dcg/dcg_manager/dcg_manager.cpp:269	DCG backend; ISA tables; PCFG translator; fold infrastructure
e349_convertToProgIRDataOp	3	46	dcg/dcg_manager/dcg_manager.cpp:898	DCG backend; ISA tables; PCFG translator
e353_createAllocationAndTransfer	4	254	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:3121	dsc2 tree utilities
e354_processDscHbmPagedTensors	4	56	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6746	dsc2 tree utilities
e356_buildFoldForAllocation	4	473	ddc/ddc_fold.cpp:2395	dsc2 tree utilities; fold infrastructure
e357_buildFoldForCompute	4	773	ddc/ddc_fold.cpp:3656	dsc2 tree utilities
e359_transformRegToFifoOrLatch	4	82	ddc/ddc_transformation.cpp:610	dsc2 tree utilities
e360_transformFor4BsplatRead	4	87	ddc/ddc_transformation.cpp:1766	dsc2 tree utilities
e361_relatedToExternalNodes	4	20	ddc/ddc_transformation_util.cpp:1757	dsc2 tree utilities
e370_buildAndPropagateFold	5	350	ddc/ddc_fold.cpp:1625	dsc2 tree utilities
e371_replace_assign	5	119	ddc/transformations/automatic_shuffle/shuffle.cpp:788	stick sizes (ALREADY PORTED)
e375_coordinateCapture	6	86	ddc/ddc_fold.cpp:1538	dsc2 tree utilities
e376_performAutomaticShuffling	6	167	ddc/ddc_transformation.cpp:1855	dsc2 tree utilities
e379_run_v1	7	109	ddc/ddcv1.cpp:3692	constraint check (ALREADY PORTED)
e382_run	9	122	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7912	dsc2 tree utilities
