entry	level	loc	authority	extract_lines	rust_home	callees
e070_GenerateConstantBitStreamAndShuffle	1	41	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:2475	3125-3165	transfer.rs	constructTypeFromFormat,constructUniformizedFoldedConstantBitStream
e071_getCumulativeStickSizes	1	17	dsc/dsc2.cpp:4108	3168-3184	shape_constraints.rs	getStickSizes
e072_createUniformizedGetUnitOp	2	42	dsc-based-utils/DSC2ToDataflowIR/DSC2ToDataflowIRUtils.hpp:95	3192-3233	utils.rs	createGetUnitOp
e073_buildNeighborUnits	2	213	dsc-based-utils/DSC2ToDataflowIR/DSC2ToDataflowIRUtils.hpp:161	3236-3448	utils.rs	createGetLocalUnitOp,createGetUnitOp
e074_getBlockingOrStreamingBufferLoopLocations	2	46	dsc-based-utils/DSC2ToDataflowIR/V3/SNControlFlowLowering.cpp:467	3451-3496	control_flow.rs	emitError,getBufferingOrStreamingMode
e075_constructLoopIterArgs	2	91	dsc-based-utils/DSC2ToDataflowIR/V3/SNControlFlowLowering.cpp:595	3499-3589	control_flow.rs	constructUniformizedFoldedAddress,emitError,getBufferingOrStreamingMode
e076_constructSyncOperation	2	69	dsc-based-utils/DSC2ToDataflowIR/V3/SNSyncLowering.cpp:205	3592-3660	sync.rs	constructImplicitSyncOperation,constructUnits,constructUnitsForUniformization
e077_constructElementsOfAgenDataTransfer	2	68	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:412	3663-3730	transfer.rs	constructBaseAddress,constructLoadOrStoreSet,constructLogicalMemoryViewOp,retrieveGetUnitOpInSameCore
e078_constructElementsOfAgenCompositeDataTransfer	2	94	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:488	3733-3826	transfer.rs	constructBaseAddress,constructLoadOrStoreSet,constructLogicalMemoryViewOp,constructTimeAddressMap,constructTimeSet,retrieveGetUnitOpInSameCore
e079_constructElementsOfAffineDataTransferViaAgenTransfer	2	77	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:590	3829-3905	transfer.rs	constructBaseAddress,constructLoadOrStoreSet,constructLogicalMemoryViewOp,retrieveGetUnitOpInSameCore
e080_constructStreamingOrDoubleBufferingLoad	2	347	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:851	3908-4254	transfer.rs	construct2B16BLoadShuffle,constructBaseAddress,constructLoadOrStoreSet,constructLogicalMemoryViewOp,constructPrecisionConversionOperation,constructTimeAddressMap,constructTimeSet,constructUniformizedAddress,constructUniformizedFoldedDoubleBufferToggling,emitError,getAddressGranularityMultiplyFactor,retrieveGetUnitOpInSameCore
e081_GenerateReceiveAndSendFromDataTransferNode	2	66	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:1395	4257-4322	transfer.rs	constructImplicitLoopsForContiguousTransfer,emitError
e082_ConstructSAMVOperation	2	96	dsc-based-utils/DSC2ToDataflowIR/V3/SNTransferLowering.cpp:1957	4325-4420	transfer.rs	constructConditionalsForSAMV,emitError
e083_buildUniformizedNeighborUnits	3	239	dsc-based-utils/DSC2ToDataflowIR/DSC2ToDataflowIRUtils.hpp:380	4428-4666	utils.rs	createGetLocalUnitOp,createUniformizedGetUnitOp
e084_initializeUnit	3	33	dsc-based-utils/DSC2ToDataflowIR/DSC2ToDataflowIRUtils.hpp:624	4669-4701	utils.rs	buildNeighborUnits
e085_initializeUnit	3	22	dsc-based-utils/DSC2ToDataflowIR/DataflowIRConstructionUtils.hpp:171	4704-4725	construction.rs	
