unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e109_performFullUnroll	109/384	0	7	dcc/src/Transform/Dataflow/LoopUnrollForShuffleOp.cpp:141	1546-1554	src/bridges/dataflow_ir_to_sentient/tf_loop_unroll_for_shuffle_op.rs	-
e110_getConstantTripCount	110/384	0	14	dcc/src/Transform/Dataflow/LoopUnrollForShuffleOp.cpp:167	1556-1571	src/bridges/dataflow_ir_to_sentient/tf_loop_unroll_for_shuffle_op.rs	-
e111_getMaxMutableRange	111/384	0	8	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:673	1573-1582	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e112_getMaxImmutableRange	112/384	0	8	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:683	1584-1593	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e113_isEligibleForSplitting	113/384	0	20	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:832	1595-1616	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e114_sortDataBasedOnWeight	114/384	0	4	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:855	1618-1623	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e115_createNewMemViewWithMod	115/384	0	12	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:966	1625-1638	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e116_getMaxImmutableRange	116/384	0	8	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:355	1640-1649	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	-
e117_transformSCFToAffineLoop	117/384	0	44	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:102	1651-1696	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	-
e118_removeValuesFromIndices	118/384	0	7	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:36	1698-1706	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
